country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Uttar_Pradesh,Baghpat,"Sardar Patel Inter College, Baghpat - UPPCB",26-04-2025 18:00:00,28.964949,77.278761,CO,25,180,60
India,Uttar_Pradesh,Bareilly,"Civil Lines, Bareilly - UPPCB",26-04-2025 18:00:00,28.359581,79.414455,SO2,55,65,60
India,Uttar_Pradesh,Bareilly,"Civil Lines, Bareilly - UPPCB",26-04-2025 18:00:00,28.359581,79.414455,OZONE,19,20,19
India,Uttar_Pradesh,Meerut,"Jai Bhim Nagar, Meerut - UPPCB",26-04-2025 18:00:00,28.9535882,77.7622941,PM10,81,280,170
India,Uttar_Pradesh,Moradabad,"Buddhi Vihar, Moradabad - UPPCB",26-04-2025 18:00:00,28.83526,78.7446,PM2.5,10,95,47
India,Uttar_Pradesh,Moradabad,"Eco Herbal Park, Moradabad - UPPCB",26-04-2025 18:00:00,28.840739,78.697531,PM10,23,118,76
India,Uttar_Pradesh,Moradabad,"Eco Herbal Park, Moradabad - UPPCB",26-04-2025 18:00:00,28.840739,78.697531,OZONE,16,191,140
India,Uttar_Pradesh,Prayagraj,"Nagar Nigam, Prayagraj - UPPCB",26-04-2025 18:00:00,25.44919916,81.82735986,NH3,7,19,13
India,Uttar_Pradesh,Prayagraj,"Nagar Nigam, Prayagraj - UPPCB",26-04-2025 18:00:00,25.44919916,81.82735986,CO,6,64,11
India,Uttar_Pradesh,Varanasi,"Ardhali Bazar, Varanasi - UPPCB",26-04-2025 18:00:00,25.3505986,82.9083074,PM2.5,14,162,81
India,Uttar_Pradesh,Varanasi,"Ardhali Bazar, Varanasi - UPPCB",26-04-2025 18:00:00,25.3505986,82.9083074,OZONE,23,35,30
India,Uttar_Pradesh,Varanasi,"Bhelupur, Varanasi - UPPCB",26-04-2025 18:00:00,25.301778,82.996789,NH3,1,1,1
India,Uttar_Pradesh,Varanasi,"IESD Banaras Hindu University, Varanasi - UPPCB",26-04-2025 18:00:00,25.262326,82.995408,SO2,24,27,25
